relation	concept	argument	metadata
property	sea star	size	large	1	web1t,	3.20369e-05	1
property	sea star	size	small	3	web1t,	9.61107e-05	1
property	starship	size	enormous	74	2gms,	0.00148762	1
property	starship	size	massive	741	2gms,web1t,	0.84589	2
property	starship	size	large	675	2gms,web1t,	1	2
property	stator	size	large	84	2gms,	0.57931	1
property	stator	size	small	61	2gms,	0.42069	1
property	stove	size	enormous	109	2gms,	0.000600558	1
property	stove	size	massive	148	2gms,	0.993289	1
property	stove	size	small	6293	2gms,web1t,	0.55789	2
property	stile	size	narrow	7572	2gms,web1t,	0.354926	2
property	stile	size	small	75	2gms,	1	1
property	stockade	size	huge	42	2gms,	0.0111111	1
property	stockade	size	massive	61	2gms,web1t,	1	2
property	christmas stocking	size	large	338	3gms,	0.102455	1
property	stoneware	size	small	729	2gms,	0.938224	1
property	strainer	size	small	1257	2gms,web1t,	0.85802	2
property	strawberry	size	enormous	67	2gms,	0.000248828	1
property	strawberry	size	huge	706	2gms,	0.00262198	1
property	strawberry	size	massive	47	2gms,	0.0525727	1
property	strawberry	size	large	4615	2gms,web1t,	0.955684	2
property	stretcher	size	narrow	40	2gms,	0.00219647	1
property	subwoofer	size	enormous	50	2gms,	0.000275762	1
property	subwoofer	size	hefty	95	2gms,	0.000523947	1
property	subwoofer	size	massive	266	2gms,	0.749296	1
property	sunglass	size	enormous	264	2gms,	0.000596946	1
property	sunglass	size	massive	112	2gms,	0.0678788	1
property	supercomputer	size	monolithic	68	2gms,	0.00402486	1
property	swell	size	broad	89	2gms,	0.00109512	1
property	swell	size	mountainous	75	2gms,	0.00092285	1
property	swell	size	massive	372	2gms,web1t,	0.0760736	2
property	swell	size	large	4769	2gms,web1t,	0.626675	2
property	syringe	size	huge	495	2gms,	0.0153717	1
property	table	size	broad	1066	2gms,web1t,	0.000226741	2
property	table	size	broad	1066	2gms,web1t,	0.000226741	2
property	table	size	colossal	1207	2gms,	0.000256732	1
property	table	size	monolithic	90	2gms,	1.91432e-05	1
property	table	size	narrow	5266	2gms,web1t,	0.00112009	2
property	table	size	broad	1066	2gms,web1t,	0.52877	2
property	table	size	puny	1179	2gms,	0.110435	1
property	taillight	size	huge	41	2gms,	0.00226971	1
property	taillight	size	small	130	2gms,	1	1
property	tankard	size	huge	168	2gms,	0.014438	1
property	tankard	size	large	1064	2gms,nounAndItsGloss,	0.632204	2
property	tankard	size	small	387	2gms,	0.229947	1
property	tank	size	broad	49	2gms,	3.27215e-05	1
property	tank	size	monolithic	48	2gms,	3.20537e-05	1
property	tank	size	narrow	834	2gms,	0.000556933	1
property	tank	size	broad	49	2gms,	0.104034	1
property	teapot	size	huge	57	2gms,	0.000425843	1
property	teapot	size	large	7145	2gms,web1t,	0.940874	2
property	tenement	size	narrow	199	2gms,web1t,	0.00710258	2
property	tenement	size	small	1122	2gms,	0.0400457	1
property	tenement	size	large	554	2gms,	0.330549	1
property	tenement	size	small	1122	2gms,	0.669451	1
property	circus tent	size	massive	42	3gms,	0.0175585	1
property	terrarium	size	huge	62	2gms,	0.0102344	1
property	terrarium	size	large	573	2gms,	1	1
property	thatch	size	huge	60	2gms,	0.00334113	1
property	thermos	size	huge	137	2gms,	0.0252908	1
property	thimble	size	large	426	2gms,web1t,	1	2
property	thong	size	broad	79	2gms,web1t,	4.17451e-05	2
property	thong	size	huge	17551	2gms,	0.00927429	1
property	thong	size	narrow	387	2gms,nounAndItsGloss,web1t,	0.000204498	3
property	thong	size	massive	823	2gms,	0.390232	1
property	thong	size	large	989	2gms,web1t,	0.180804	2
property	thong	size	small	4044	2gms,web1t,	0.739305	2
property	tie	size	broad	385	2gms,gan,	0.000245248	2
property	tie	size	broad	385	2gms,gan,	0.000245248	2
property	tie	size	enormous	121	2gms,	7.70781e-05	1
property	bow tie	size	narrow	1010	3gms,	0.000643379	1
property	tie	size	narrow	8922	2gms,nounAndItsGloss,web1t,	0.00568339	3
property	tie	size	massive	338	2gms,	0.0235409	1
property	bow tie	size	large	437	3gms,	0.0867925	1
property	tie	size	large	2980	2gms,	0.591857	1
property	tin	size	narrow	73	2gms,	0.000284917	1
property	tin	size	massive	76	2gms,	0.0106056	1
property	tin	size	small	23298	2gms,web1t,	0.783468	2
property	tombstone	size	large	852	2gms,	1	1
property	toolbox	size	huge	190	2gms,	0.00220651	1
property	toolbox	size	large	1040	2gms,web1t,	0.71576	2
property	top	size	enormous	1	web1t,	1.27675e-05	1
property	top	size	narrow	6	web1t,	7.66049e-05	1
property	top	size	massive	2	web1t,	0.1	1
property	top	size	large	14	web1t,	0.823529	1
property	clock tower	size	large	413	3gms,nounAndItsGloss,	0.0246082	2
property	cooling tower	size	large	494	3gms,	0.0294345	1
property	water tower	size	large	658	3gms,nounAndItsGloss,	0.0392063	2
property	toy	size	colossal	1139	2gms,web1t,	0.000281666	2
property	toy	size	enormous	720	2gms,web1t,	0.00017805	2
property	toy	size	narrow	81	2gms,	2.00307e-05	1
property	toy	size	massive	6685	2gms,web1t,	0.553211	2
property	toy	size	large	32429	2gms,web1t,	0.206673	2
property	toy	size	small	65856	2gms,nounAndItsGloss,web1t,	0.419706	3
property	toy	size	puny	1158	2gms,	0.199072	1
property	trackball	size	huge	74	2gms,	0.00443885	1
property	train	size	colossal	120	2gms,	9.9314e-05	1
property	train	size	enormous	505	2gms,	0.000417946	1
property	train	size	narrow	203	2gms,	0.000168006	1
property	train	size	massive	1736	2gms,web1t,	0.253542	2
property	train	size	large	7036	2gms,web1t,	0.286319	2
property	train	size	small	12075	2gms,web1t,	0.491373	2
property	transporter	size	broad	1	web1t,	4.00562e-06	1
property	transporter	size	huge	105	2gms,	0.000420591	1
property	transporter	size	massive	41	2gms,	1	1
property	car transporter	size	large	71	3gms,	0.0880893	1
property	transporter	size	large	357	2gms,web1t,	0.442928	2
property	transporter	size	small	294	2gms,web1t,	0.364764	2
property	treadmill	size	huge	73	2gms,	0.000391751	1
property	treadmill	size	massive	129	2gms,web1t,	1	2
property	treadmill	size	small	244	2gms,	1	1
property	trestle	size	huge	68	2gms,	0.00827956	1
property	trestle	size	narrow	59	2gms,	0.00718373	1
property	trestle	size	massive	63	2gms,	1	1
property	trestle	size	large	645	2gms,web1t,	1	2
property	triangle	size	enormous	84	2gms,	5.73739e-05	1
property	triangle	size	huge	1144	2gms,	0.000781378	1
property	triangle	size	mountainous	57	2gms,	3.89323e-05	1
property	triangle	size	narrow	1288	2gms,	0.000879733	1
property	triangle	size	massive	176	2gms,	0.22335	1
property	trimaran	size	huge	42	2gms,	0.0499405	1
property	trimaran	size	small	70	2gms,	1	1
property	triode	size	small	63	2gms,	0.401274	1
property	trivet	size	large	238	2gms,	0.17	1
property	trivet	size	small	214	2gms,	0.152857	1
property	trombone	size	huge	43	2gms,	0.00100005	1
property	trumpet	size	huge	374	2gms,	0.0025742	1
property	trumpet	size	narrow	42	2gms,nounAndItsGloss,	0.000289081	2
property	trumpet	size	small	1275	2gms,web1t,	0.931337	2
property	tulle	size	small	58	2gms,	1	1
property	tun	size	large	62	2gms,nounAndItsGloss,	0.350282	2
property	tun	size	small	115	2gms,	0.649718	1
property	wind turbine	size	massive	276	3gms,	0.222043	1
property	tureen	size	large	882	2gms,nounAndItsGloss,	0.342258	2
property	tureen	size	small	680	2gms,	0.263873	1
property	turnstile	size	narrow	128	2gms,	0.011449	1
property	turnstile	size	large	1	web1t,	1	1
property	turtle	size	massive	237	2gms,web1t,	0.255388	2
property	turtle	size	small	7853	2gms,web1t,	0.852845	2
property	ultracentrifuge	size	large	1	nounAndItsGloss,	1	1
property	unicycle	size	small	40	2gms,	1	1
property	vacuum	size	narrow	167	2gms,	0.000127375	1
property	vacuum	size	massive	992	2gms,	0.420517	1
property	vacuum	size	small	7214	2gms,web1t,jjnnInGloss,	0.652851	3
property	exhaust valve	size	large	86	3gms,	0.00269027	1
property	vane	size	large	400	2gms,web1t,	0.177936	2
property	vane	size	small	568	2gms,	0.252669	1
property	van	size	broad	161	2gms,	0.000132355	1
property	van	size	enormous	178	2gms,	0.00014633	1
property	van	size	narrow	64	2gms,web1t,	5.2613e-05	2
property	van	size	massive	241	2gms,web1t,	0.186677	2
property	van	size	broad	161	2gms,	0.993827	1
property	verdigris	size	large	227	2gms,	0.355799	1
property	verdigris	size	small	110	2gms,	0.172414	1
property	vernier	size	large	43	2gms,	0.220513	1
property	vernier	size	small	152	2gms,nounAndItsGloss,	0.779487	2
property	viaduct	size	huge	145	2gms,	0.0167669	1
property	viaduct	size	massive	223	2gms,	1	1
property	viaduct	size	small	53	2gms,	1	1
property	volcano	size	enormous	1005	2gms,web1t,	0.00378252	2
property	volcano	size	mountainous	91	2gms,web1t,	0.000342497	2
property	volcano	size	massive	2242	2gms,	0.917349	1
property	volleyball	size	huge	106	2gms,	0.000710175	1
property	volleyball	size	large	185	2gms,	0.396996	1
property	volleyball	size	small	159	2gms,web1t,	0.341202	2
property	retaining wall	size	small	898	3gms,	0.017603	1
property	wand	size	huge	45	2gms,	0.000590854	1
property	wand	size	narrow	50	2gms,	0.000656504	1
property	wand	size	large	968	2gms,	0.328804	1
property	wand	size	small	1142	2gms,web1t,	0.387908	2
property	wand	size	unwieldy	1	web1t,	0.000339674	1
property	washroom	size	huge	43	2gms,	0.001286	1
property	washroom	size	large	482	2gms,	0.475814	1
property	washroom	size	small	531	2gms,	0.524186	1
property	watercraft	size	narrow	90	2gms,web1t,	0.00644976	2
property	watercraft	size	large	232	2gms,	0.0418697	1
property	watercraft	size	small	5146	2gms,web1t,	0.928713	2
property	wedgwood	size	huge	70	2gms,	0.00125354	1
property	wedgwood	size	large	394	2gms,	0.567723	1
property	wedgwood	size	small	300	2gms,	0.432277	1
property	weir	size	narrow	40	2gms,	0.00235128	1
property	weir	size	small	1154	2gms,web1t,	1	2
property	welt	size	broad	2	web1t,	5.32354e-05	1
property	wheel	size	broad	436	2gms,web1t,	0.000183824	2
property	wheel	size	colossal	40	2gms,	1.68646e-05	1
property	wheel	size	narrow	1866	2gms,	0.000786733	1
property	bicycle wheel	size	small	46	3gms,	0.00111103	1
property	fifth wheel	size	small	314	3gms,	0.00758399	1
property	spinning wheel	size	small	111	3gms,nounAndItsGloss,	0.00268097	2
property	wheel	size	small	34426	2gms,web1t,jjnnInGloss,	0.831486	3
property	whisk	size	narrow	116	2gms,	0.013443	1
property	wigwam	size	huge	44	2gms,	0.00428808	1
property	wigwam	size	large	210	2gms,	0.693069	1
property	wigwam	size	small	93	2gms,	0.306931	1
property	windmill	size	massive	164	2gms,	1	1
property	windmill	size	large	1480	2gms,	0.416315	1
property	windmill	size	small	2075	2gms,web1t,	0.583685	2
property	lancet window	size	narrow	206	3gms,nounAndItsGloss,	2.74299e-05	2
property	dormer window	size	small	197	3gms,	0.000452394	1
property	lancet window	size	small	104	3gms,	0.000238827	1
property	windscreen	size	huge	101	2gms,	0.002511	1
property	windscreen	size	narrow	52	2gms,	0.00129279	1
property	windscreen	size	massive	51	2gms,	1	1
property	windshield	size	huge	135	2gms,	0.000755211	1
property	windshield	size	narrow	116	2gms,	0.000648922	1
property	windshield	size	massive	48	2gms,	1	1
property	windshield	size	small	550	2gms,web1t,	1	2
property	wing	size	broad	7303	2gms,web1t,	0.00559012	2
property	wing	size	colossal	46	2gms,	3.52109e-05	1
property	wing	size	narrow	3803	2gms,web1t,	0.00291103	2
property	wing	size	massive	1599	2gms,web1t,	0.156336	2
property	wing	size	broad	7303	2gms,web1t,	0.339548	2
property	wing	size	small	11174	2gms,web1t,	0.519528	2
property	wing	size	puny	80	2gms,	0.0050923	1
property	wok	size	enormous	51	2gms,	0.000751979	1
property	wok	size	huge	361	2gms,	0.00532283	1
property	wok	size	small	386	2gms,	1	1
property	wreck	size	massive	526	2gms,	0.527054	1
property	wreck	size	large	684	2gms,	0.232495	1
property	wreck	size	small	2258	2gms,web1t,	0.767505	2
property	cd player	size	small	12	cw0912	2	1
property	ipod	size	small	5	cw0912	1.45455	1
property	kitten	size	small	2	cw0912	1.15385	1
property	otter	size	large	12	cw0912	1.4	1
property	basketball	size	small	8	cw0912	1.61538	1
property	hulk	size	small	1	cw0912	1.14286	1
property	hook	size	small	1	cw0912	1.05	1
property	horn	size	small	1	cw0912	1.01389	1
property	pumpkin	size	large	6	cw0912	1.375	1
property	clutch	size	large	1	cw0912	1.25	1
property	hold	size	small	23	cw0912	2	1
property	dipole antenna	size	large	1	cw0912	2	1
property	solar cell	size	large	1	cw0912	2	1
property	motorcycle	size	large	2	cw0912	1.02	1
property	butterfly	size	slender	1	cw0912	1.01471	1
property	lamp	size	small	1	cw0912	1.03704	1
property	seal	size	broad	2	cw0912	1.03571	1
property	monkey	size	small	10	cw0912	1.22222	1
property	refrigerator	size	large	1	cw0912	1.04545	1
property	skyscraper	size	large	2	cw0912	1.66667	1
property	exhaust valve	size	small	4	cw0912	1.44444	1
property	triangle	size	large	2	cw0912	1.03704	1
property	printer	size	broad	1	cw0912	1.00186	1
property	quill	size	large	1	cw0912	1.2	1
property	white	size	small	1	cw0912	1.14286	1
property	contact	size	small	2	cw0912	1.11765	1
property	whale	size	small	8	cw0912	1.06202	1
property	wheel	size	small	2	cw0912	1.00472	1
property	wind turbine	size	large	2	cw0912	1.2	1
property	tennis ball	size	large	1	cw0912	1.07143	1
property	liger	size	small	26	cw0912	1.65	1
property	motel	size	large	2	cw0912	1.33333	1
property	mouse	size	large	76	cw0912	1.21839	1
property	pinhead	size	large	3	cw0912	1.75	1
property	hubcap	size	small	1	cw0912	2	1
property	abacus	weight	light	78	2gms,	1	1
property	abbey	weight	fat	56	2gms,	1	1
property	accordion	weight	heavy	55	2gms,	1	1
property	adobe	weight	heavy	80	2gms,	0.0355082	1
property	adobe	weight	light	487	2gms,	0.216156	1
property	airplane	weight	heavy	625	2gms,	0.0801796	1
property	airplane	weight	light	6632	2gms,web1t,	0.850802	2
property	dipole antenna	weight	aeriform	1	nounAndItsGloss,	1.02181e-06	1
property	apple	weight	fat	3402	2gms,web1t,	0.413466	2
property	apple	weight	heavy	175	2gms,	0.0212688	1
property	apple	weight	light	2857	2gms,	0.347229	1
property	apron	weight	fat	69	2gms,	0.0313067	1
property	apron	weight	heavy	476	2gms,web1t,	0.215971	2
property	apron	weight	light	1096	2gms,	0.497278	1
property	storage area	weight	fat	208	3gms,	0.0026738	1
property	storage area	weight	light	127	3gms,	0.00163256	1
property	armoire	weight	heavy	51	2gms,	0.242857	1
property	armoire	weight	light	54	2gms,web1t,	0.257143	2
property	ashtray	weight	heavy	371	2gms,web1t,	0.484334	2
property	electric automobile	weight	light	1	web1t,	0.000347705	1
property	axe	weight	heavy	2547	2gms,web1t,nounAndItsGloss,	0.0111593	3
property	axe	weight	heavy	2547	2gms,web1t,nounAndItsGloss,	0.439517	3
property	axe	weight	light	1000	2gms,web1t,	0.172563	2
property	backhoe	weight	heavy	1	web1t,	0.00657895	1
property	backpack	weight	heavy	11328	2gms,web1t,jjnnInGloss,	0.628008	3
property	backpack	weight	light	3445	2gms,web1t,	0.190986	2
property	bagel	weight	fat	392	2gms,web1t,	0.621236	2
property	bagel	weight	light	2	web1t,	0.00316957	1
property	plastic bag	weight	fat	40	3gms,	0.000265372	1
property	book bag	weight	heavy	415	3gms,	0.00275323	1
property	duffel bag	weight	heavy	229	3gms,nounAndItsGloss,	0.00151925	2
property	duffle bag	weight	heavy	122	3gms,nounAndItsGloss,	0.000809384	2
property	golf bag	weight	heavy	320	3gms,	0.00212297	1
property	grocery bag	weight	heavy	291	3gms,	0.00193058	1
property	plastic bag	weight	heavy	2886	3gms,	0.0191466	1
property	punching bag	weight	heavy	1864	3gms,	0.0123663	1
property	shopping bag	weight	heavy	924	3gms,	0.00613009	1
property	sleeping bag	weight	heavy	206	3gms,	0.00136666	1
property	air bag	weight	light	145	3gms,	0.000961972	1
property	golf bag	weight	light	330	3gms,	0.00218932	1
property	plastic bag	weight	light	42	3gms,	0.00027864	1
property	shopping bag	weight	light	131	3gms,	0.000869092	1
property	sleeping bag	weight	light	2716	3gms,	0.0180187	1
property	bowling ball	weight	light	546	3gms,	0.000206841	1
property	cricket ball	weight	light	48	3gms,	1.81838e-05	1
property	golf ball	weight	light	57	3gms,	2.15932e-05	1
property	ping-pong ball	weight	light	1	nounAndItsGloss,	3.78829e-07	1
property	bowling ball	weight	heavy	188	3gms,	0.00310595	1
property	tennis ball	weight	heavy	376	3gms,	0.0062119	1
property	bowling ball	weight	light	546	3gms,	0.00902047	1
property	cricket ball	weight	light	48	3gms,	0.000793008	1
property	golf ball	weight	light	57	3gms,	0.000941697	1
property	ping-pong ball	weight	light	1	nounAndItsGloss,	1.6521e-05	1
property	banjo	weight	light	227	2gms,	1	1
property	piggy bank	weight	fat	127	3gms,	0.00676864	1
property	grab bar	weight	light	42	3gms,	0.000180829	1
property	baseball	weight	fat	111	2gms,	0.0316962	1
property	baseball	weight	heavy	111	2gms,	0.0316962	1
property	baseball	weight	light	1219	2gms,	0.348087	1
property	basketball	weight	light	1131	2gms,	0.00105767	1
property	basketball	weight	heavy	541	2gms,	0.176971	1
property	basketball	weight	light	1131	2gms,	0.369971	1
property	bath	weight	fat	248	2gms,web1t,	0.00421038	2
property	bath	weight	heavy	234	2gms,	0.0039727	1
property	bath	weight	light	53690	2gms,web1t,	0.911514	2
property	bathroom	weight	fat	5420	2gms,	0.294854	1
property	bathroom	weight	heavy	119	2gms,	0.00647372	1
property	bathroom	weight	light	8505	2gms,web1t,	0.462681	2
property	beaker	weight	fat	66	2gms,	0.0660661	1
property	belfry	weight	light	46	2gms,	1	1
property	bench	weight	heavy	1723	2gms,web1t,	0.210199	2
property	bench	weight	light	1082	2gms,	0.132	1
property	bevel	weight	light	56	2gms,	0.00118969	1
property	bevel	weight	heavy	184	2gms,	0.766667	1
property	bevel	weight	light	56	2gms,	0.233333	1
property	bib	weight	fat	77	2gms,	0.000911113	1
property	bib	weight	light	53	2gms,	0.00062713	1
property	bib	weight	fat	77	2gms,	0.401042	1
property	bib	weight	heavy	62	2gms,	0.322917	1
property	bib	weight	light	53	2gms,	0.276042	1
property	bicycle	weight	aeriform	1	web1t,	3.49532e-06	1
property	bicycle	weight	fat	189	2gms,	0.0377622	1
property	bicycle	weight	heavy	537	2gms,web1t,	0.107293	2
property	bicycle	weight	light	2429	2gms,web1t,	0.485315	2
property	binder	weight	fat	3334	2gms,	0.557618	1
property	binder	weight	heavy	543	2gms,web1t,	0.0908179	2
property	binder	weight	light	1	web1t,	0.000167252	1
property	blower	weight	light	137	2gms,	0.253235	1
property	blue	weight	heavy	5	web1t,	0.172414	1
property	blue	weight	light	20	web1t,	0.689655	1
property	bookend	weight	heavy	141	2gms,	1	1
property	bookshelf	weight	heavy	353	2gms,	0.858881	1
property	bookshelf	weight	light	58	2gms,	0.141119	1
property	ski boot	weight	heavy	50	3gms,	0.000981142	1
property	bottle	weight	fat	746	2gms,web1t,	0.0426725	2
property	bottle	weight	heavy	2221	2gms,web1t,	0.127045	2
property	water bottle	weight	heavy	290	3gms,	0.0165885	1
property	bottle	weight	light	10765	2gms,	0.615776	1
property	wine bottle	weight	light	166	3gms,	0.00949548	1
property	bowl	weight	fat	1013	2gms,	0.0974882	1
property	bowl	weight	heavy	1734	2gms,web1t,	0.166875	2
property	mixing bowl	weight	heavy	120	3gms,	0.0115485	1
property	bowl	weight	light	2445	2gms,web1t,	0.2353	2
property	bow	weight	light	2603	2gms,web1t,	0.00434344	2
property	bow	weight	fat	148	2gms,	0.0224174	1
property	bow	weight	heavy	1305	2gms,web1t,	0.197667	2
property	bow	weight	light	2603	2gms,web1t,	0.394274	2
property	box	weight	fat	5173	2gms,	0.0102021	1
property	box	weight	heavy	21310	2gms,web1t,	0.0420271	2
property	music box	weight	heavy	69	3gms,	0.00013608	1
property	box	weight	light	455493	2gms,web1t,	0.898313	2
property	call box	weight	light	69	3gms,	0.00013608	1
property	music box	weight	light	107	3gms,	0.000211023	1
property	shadow box	weight	light	60	3gms,	0.000118331	1
property	brace	weight	heavy	520	2gms,	0.247855	1
property	brace	weight	light	157	2gms,	0.0748332	1
property	brake	weight	fat	140	2gms,web1t,	0.0180319	2
property	brake	weight	heavy	673	2gms,	0.0866821	1
property	brake	weight	light	2005	2gms,web1t,	0.258243	2
property	brassiere	weight	light	1	web1t,	0.02	1
property	brass	weight	fat	799	2gms,	0.0174595	1
property	brass	weight	heavy	19417	2gms,	0.424295	1
property	brass	weight	light	8113	2gms,	0.177283	1
property	bulb	weight	fat	147	2gms,	7.31484e-05	1
property	bulb	weight	heavy	185	2gms,web1t,	9.20576e-05	2
property	bulb	weight	light	1998146	2gms,web1t,jjnnInGloss,	0.994294	3
property	bullet	weight	light	4607	2gms,	0.00668081	1
property	bullet	weight	fat	480	2gms,web1t,	0.0544465	2
property	bullet	weight	heavy	2701	2gms,web1t,	0.306375	2
property	bullet	weight	light	4607	2gms,	0.522573	1
property	bumper	weight	fat	49	2gms,	0.0136111	1
property	bumper	weight	heavy	265	2gms,	0.0736111	1
property	bumper	weight	light	453	2gms,web1t,	0.125833	2
property	bunker	weight	heavy	787	2gms,web1t,	0.939141	2
property	bunker	weight	light	51	2gms,web1t,	0.0608592	2
property	burrito	weight	fat	613	2gms,	1	1
property	bus	weight	fat	1004	2gms,	0.0596341	1
property	bus	weight	heavy	1967	2gms,web1t,	0.116833	2
property	bus	weight	light	12279	2gms,web1t,jjnnInGloss,	0.72933	3
property	butte	weight	fat	508	2gms,web1t,	1	2
property	filing cabinet	weight	heavy	311	3gms,	0.0336726	1
property	power cable	weight	heavy	151	3gms,	0.00484767	1
property	camcorder	weight	heavy	104	2gms,	0.0562466	1
property	camcorder	weight	light	1459	2gms,web1t,	0.789075	2
property	cannon	weight	heavy	6001	2gms,nounAndItsGloss,web1t,jjnnInGloss,nounAndItsGloss,	0.325699	5
property	cannon	weight	light	7110	2gms,	0.385889	1
property	canopy	weight	heavy	1210	2gms,web1t,	0.209379	2
property	canopy	weight	light	2894	2gms,	0.500779	1
property	capsule	weight	fat	497	2gms,web1t,	0.145962	2
property	capsule	weight	heavy	2	web1t,	0.000587372	1
property	capsule	weight	light	1005	2gms,	0.295154	1
property	carafe	weight	heavy	1	web1t,	0.00440529	1
property	caravan	weight	heavy	130	2gms,	0.308057	1
property	caravan	weight	light	181	2gms,web1t,	0.42891	2
property	armored car	weight	heavy	186	3gms,	2.33831e-05	1
property	armoured car	weight	heavy	279	3gms,	3.50747e-05	1
property	car	weight	heavy	10260	2gms,web1t,	0.00128984	2
property	car	weight	fat	5536	2gms,web1t,	0.0840035	2
property	armored car	weight	heavy	186	3gms,	0.00282237	1
property	armoured car	weight	heavy	279	3gms,	0.00423356	1
property	car	weight	heavy	10260	2gms,web1t,	0.155686	2
property	armored car	weight	light	617	3gms,nounAndItsGloss,	0.00936239	2
property	armoured car	weight	light	350	3gms,nounAndItsGloss,	0.00531092	2
property	car	weight	light	33510	2gms,web1t,	0.508482	2
property	electric car	weight	light	1	web1t,	1.5174e-05	1
property	carrot	weight	light	152	2gms,	0.00133927	1
property	carrot	weight	fat	2502	2gms,	0.860681	1
property	carrot	weight	heavy	44	2gms,	0.0151359	1
property	carrot	weight	light	152	2gms,	0.0522876	1
property	cart	weight	heavy	3932	2gms,nounAndItsGloss,web1t,jjnnInGloss,	0.244482	4
property	shopping cart	weight	heavy	44	3gms,	0.00273581	1
property	cart	weight	light	9280	2gms,	0.577007	1
property	shopping cart	weight	light	167	3gms,	0.0103836	1
property	cartouche	weight	light	40	2gms,	1	1
property	cartwheel	weight	fat	728	2gms,	1	1
property	castle	weight	heavy	53	2gms,	0.00399157	1
property	castle	weight	light	1347	2gms,web1t,	0.101446	2
property	cast	weight	fat	108	2gms,	0.00129102	1
property	cast	weight	heavy	28520	2gms,web1t,	0.340924	2
property	plaster cast	weight	heavy	54	3gms,	0.000645508	1
property	cast	weight	light	25453	2gms,web1t,	0.304262	2
property	castor	weight	heavy	82	2gms,	0.0231769	1
property	cellophane	weight	heavy	48	2gms,	0.340426	1
property	chain	weight	fat	1284	2gms,web1t,	0.00209436	2
property	chain	weight	heavy	349786	2gms,web1t,	0.570544	2
property	chain	weight	light	240242	2gms,jjnnInGloss,web1t,	0.391864	3
property	chainsaw	weight	heavy	59	2gms,	0.460938	1
property	chair	weight	light	2862	2gms,web1t,	0.000988703	2
property	chair	weight	fat	479	2gms,	0.0540693	1
property	chair	weight	heavy	2057	2gms,web1t,	0.232193	2
property	chair	weight	light	2862	2gms,web1t,	0.323061	2
property	chassis	weight	heavy	970	2gms,	0.202886	1
property	chassis	weight	light	884	2gms,	0.184899	1
property	chateau	weight	light	153	2gms,	1	1
property	treasure chest	weight	heavy	42	3gms,	0.00751476	1
property	chime	weight	heavy	49	2gms,web1t,	0.138028	2
property	chime	weight	light	229	2gms,	0.64507	1
property	bone china	weight	light	54	3gms,	0.0109578	1
property	churn	weight	heavy	113	2gms,	1	1
property	clasp	weight	heavy	194	2gms,web1t,	0.250323	2
property	clasp	weight	light	63	2gms,	0.0812903	1
property	cloak	weight	heavy	3295	2gms,web1t,	0.479552	2
property	cloak	weight	light	725	2gms,web1t,	0.105516	2
property	wall clock	weight	light	529	3gms,	0.036315	1
property	clutch	weight	heavy	1105	2gms,web1t,	0.0516331	2
property	clutch	weight	light	941	2gms,web1t,	0.0439699	2
property	cockpit	weight	light	53	2gms,	1	1
property	commuter	weight	heavy	1069	2gms,	0.0113214	1
property	commuter	weight	heavy	1069	2gms,	0.59754	1
property	commuter	weight	light	210	2gms,web1t,	0.117384	2
property	compass	weight	light	842	2gms,	0.534264	1
property	laptop computer	weight	heavy	47	3gms,web1t,	0.00144473	2
property	laptop computer	weight	light	243	3gms,web1t,	0.00746957	2
property	condominium	weight	light	163	2gms,web1t,	1	2
property	condo	weight	light	44	2gms,web1t,	1	2
property	cargo container	weight	heavy	217	3gms,	0.0329487	1
property	water cooler	weight	heavy	52	3gms,	0.0487805	1
property	corkscrew	weight	light	66	2gms,web1t,	0.420382	2
property	cot	weight	light	121	2gms,	0.0016197	1
property	cot	weight	light	121	2gms,	0.535398	1
property	couch	weight	fat	408	2gms,	0.46789	1
property	couch	weight	heavy	283	2gms,web1t,	0.324541	2
property	couch	weight	light	57	2gms,web1t,	0.065367	2
property	cove	weight	light	894	2gms,	0.526192	1
property	dust cover	weight	light	47	3gms,	0.000128862	1
property	cream	weight	fat	19089	2gms,web1t,	0.0653764	2
property	cream	weight	heavy	165522	2gms,web1t,jjnnInGloss,	0.566883	3
property	cream	weight	light	63987	2gms,web1t,jjnnInGloss,	0.219144	3
property	crib	weight	fat	46	2gms,	0.0383653	1
property	crib	weight	heavy	1	web1t,	0.000834028	1
property	crib	weight	light	641	2gms,web1t,	0.534612	2
property	cross	weight	fat	42	2gms,	0.00704935	1
property	cross	weight	heavy	615	2gms,	0.103223	1
property	cross	weight	light	975	2gms,	0.163646	1
property	crutch	weight	light	40	2gms,	0.213904	1
property	air cushion	weight	light	44	3gms,	0.00633367	1
property	cylinder	weight	fat	312	2gms,	0.0478968	1
property	cylinder	weight	heavy	875	2gms,web1t,	0.134326	2
property	cylinder	weight	light	3728	2gms,web1t,	0.572306	2
property	darkroom	weight	light	46	2gms,	0.0023097	1
property	darkroom	weight	light	46	2gms,	0.377049	1
property	decanter	weight	heavy	1	web1t,	0.0117647	1
property	delft	weight	light	74	2gms,	1	1
property	derrick	weight	heavy	95	2gms,	0.536723	1
property	diaper	weight	fat	71	2gms,	0.147303	1
property	diaper	weight	heavy	267	2gms,web1t,	0.553942	2
property	diaper	weight	light	1	web1t,	0.00207469	1
property	dipole	weight	aeriform	1	nounAndItsGloss,	1.10996e-05	1
property	dipole	weight	fat	156	2gms,	1	1
property	dishwasher	weight	light	128	2gms,	0.125245	1
