relation	concept	argument	metadata
location	chateau	flag	 on the :51.0	1
location	chime	door	 at the :77.0	1
location	chips	box	 in the :783.0	1
location	compass	box	 in a :119.0	1
location	condo	ski	 on the :260.0	1
location	contact	wheel	 between the :139.0	1
location	couch	door	 by the :58.0	1
location	couch	white	 in the :49.0	1
location	courthouse	car	 in a :225.0	1
location	cream	bowl	 in a :2168.0	1
location	cream	chair	 over the :61.0	1
location	cream	box	 in the :48.0	1
location	cross	apple	 between an :217.0	1
location	cross	elephant	 between an :126.0	1
location	cross	person	 in the :42.0	1
location	cross	door	 on the :155.0	1
location	cross	train	 by the :49.0	1
location	cross	accordion	 between an :50.0	1
location	cross	ipod	 between an :108.0	1
location	cross	orange	 between an :202.0	1
location	cross	airplane	 between an :72.0	1
location	cross	artichoke	 between an :42.0	1
location	cross	lion	 between a :96.0	1
location	cross	baby	 on the :44.0	1
location	cucumber	bowl	 in a :66.0	1
location	diaper	airplane	 in an :46.0	1
location	dog	dishwasher	 in the :115.0	1
location	dog	pet	 at the :41.0	1
location	dog	couch	 on the :102.0	1
location	dog	lifeboat	 in the :53.0	1
location	dog	microwave	 in the :197.0	1
location	dog	airplane	 on an :233.0	1
location	door	microwave	 on a :70.0	1
location	door	palace	 in a :70.0	1
location	door	box	 on the :44.0	1
location	door	castle	 in the :52.0	1
location	door	chair	 in a :45.0	1
location	door	flag	 in an :41.0	1
location	door	frame	 in the :83.0	1
location	door	lamp	 between the :54.0	1
location	door	car	 on the :197.0	1
location	door	dog	 at the :44.0	1
location	elephant	snake	 in a :484.0	1
location	elephant	strawberry	 in a :103.0	1
location	elephant	bathroom	 in the :42.0	1
location	elephant	bath	 in the :50.0	1
location	envelope	printer	 in the :52.0	1
location	envelope	mailbox	 in the :213.0	1
location	envelope	windshield	 on the :49.0	1
location	envelope	train	 on the :58.0	1
location	exhaust	car	 on the :42.0	1
location	fanlight	door	 over the :260.0	1
location	filament	lightbulb	 in a :83.0	1
location	filament	toaster	 in a :47.0	1
location	flag	seal	 under the :44.0	1
location	flag	box	 in the :95.0	1
location	flag	mailbox	 on the :104.0	1
location	flag	windshield	 on the :68.0	1
location	flag	mast	 on the :167.0	1
location	frame	bowl	 at the :73.0	1
location	frame	flag	 between the :420.0	1
location	frame	top	 on the :103.0	1
location	frog	shoe	 in a :104.0	1
location	goldfish	pet	 at the :605.0	1
location	goldfish	tank	 in a :41.0	1
location	gong	hook	 on the :340.0	1
location	gps	windshield	 against the :49.0	1
location	gps	box	 in the :42.0	1
location	gps	car	 in the :377.0	1
location	gps	laptop	 on a :120.0	1
location	guitar	headstock	 by the :43.0	1
location	guitar	box	 in a :292.0	1
location	hammer	frame	 through the :101.0	1
location	hamster	microwave	 in the :99.0	1
location	hold	white	 on the :167.0	1
location	hold	mouse	 on the :47.0	1
location	hold	box	 on the :112.0	1
location	hook	bathroom	 in the :52.0	1
location	hook	top	 on the :103.0	1
location	horn	motorcycle	 on a :133.0	1
location	horn	wheel	 on the :155.0	1
location	horn	car	 on the :47.0	1
location	horn	bus	 on the :302.0	1
location	horse	halter	 by the :49.0	1
location	horse	bathroom	 in the :209.0	1
location	horse	cart	 behind the :159.0	1
location	ipod	scooter	 on a :40.0	1
location	ipod	bus	 on the :133.0	1
location	ipod	box	 in the :62.0	1
location	kirk	castle	 below the :361.0	1
location	kitty	piano	 on the :50.0	1
location	lamp	dresser	 on the :67.0	1
location	laptop	bathroom	 in the :78.0	1
location	laptop	sofa	 on a :41.0	1
location	laptop	train	 on the :163.0	1
location	laptop	couch	 on the :90.0	1
location	lemon	car	 by a :91.0	1
location	lion	box	 in the :4504.0	1
location	lipstick	bathroom	 on the :84.0	1
location	lipstick	lampshade	 on the :61.0	1
location	lock	mailbox	 on the :99.0	1
location	lock	box	 on the :211.0	1
location	lock	bathroom	 on the :413.0	1
location	lock	pin	 on the :40.0	1
location	locket	thong	 on a :42.0	1
location	microphone	mouthpiece	 at the :68.0	1
location	microphone	box	 inside the :63.0	1
location	microphone	plug	 in the :59.0	1
location	monkey	white	 in the :127.0	1
location	monkey	horse	 on the :113.0	1
location	monkey	box	 in the :102.0	1
location	monument	palace	 near the :56.0	1
location	mouse	laptop	 on the :63.0	1
location	mouse	treadmill	 on the :78.0	1
location	mouse	dresser	 behind the :45.0	1
location	mouse	guitar	 over the :345.0	1
location	palace	pinnacle	 through the :43.0	1
location	palace	castle	 at the :44.0	1
location	perfume	car	 in the :46.0	1
location	person	bench	 on the :902.0	1
location	person	spaceship	 on the :44.0	1
location	person	train	 on the :280.0	1
location	person	envelope	 in a :51.0	1
location	person	apple	 at the :71.0	1
location	person	bow	 in the :76.0	1
location	person	top	 at the :758.0	1
location	person	warthog	 in the :58.0	1
location	person	motorcycle	 on the :77.0	1
location	person	cockpit	 in the :160.0	1
location	person	couch	 on the :176.0	1
location	person	bicycle	 on the :44.0	1
location	person	frame	 in the :103.0	1
location	person	horse	 on the :73.0	1
location	person	treadmill	 on the :85.0	1
location	person	bathroom	 in the :156.0	1
location	person	microphone	 behind the :392.0	1
location	person	apron	 in the :50.0	1
location	pet	dog	 at the :45.0	1
location	pin	plug	 on the :95.0	1
location	pin	tiger	 in the :52.0	1
location	pineapple	bowl	 in a :158.0	1
location	pineapple	pizza	 on a :126.0	1
location	pitcher	refrigerator	 in the :131.0	1
location	pizza	microwave	 in the :96.0	1
location	plaque	monument	 on the :48.0	1
location	plug	camcorder	 in a :48.0	1
location	plug	guitar	 in an :70.0	1
location	plug	ipod	 in the :604.0	1
location	plug	bath	 in the :119.0	1
location	plug	bullet	 in the :61.0	1
location	plug	dog	 on the :65.0	1
location	plunger	strainer	 in the :74.0	1
location	potpourri	bowl	 in a :110.0	1
